,Customer_Group,Sales_Org,Distribution_Channel,Aggregate_Planning_Group,Scenario,Number_of_Observations,Training_Rsq,Shapiro_pvalue,Intercept,Base_Price_norm,seasonality,TPCW,trend_input,PROMO_SPEND_TOTAL,Outlier,price_offset
0,Total US - Club,US43,Retail,DEER PARK OP xAl Btl,MIXED,0,0,0,27363.22805,-20696.42889,90190.27978,212.4257958,-32.05719001,0.023259037,0,-177255.7112
1,Walmart Corp-RMA - Walmart,US43,Retail,DEER PARK CP,Base,103,0.869831487,0.021292863,-35002.39528,-52711.9691,54832.35667,3906.016506,-108.3956853,0.397864176,110865.3487,-536404.7376
2,Total US - Club,US43,Retail,PURE LIFE CP,MIXED,0,0,0,-330293.9546,-46626.03945,48480.52793,1123.756384,84.48097555,0.383685197,0,-261324.1389
3,Walmart Corp-RMA - Walmart,US43,Retail,OZARKA MSV,MIXED,0,0,0,-1133.143777,-55.72399072,770.3125606,64.96381391,-0.581707974,0.066928184,0,-189.0305391
4,Total US - Drug,US43,Retail,ICE MOUNTAIN MSV,MIXED,0,0,0,110.0628821,-16.93316438,181.6286696,52.00877393,-0.066132355,0.014901356,0,-60.95140795
5,Total US - Club,US43,Retail,DEER PARK MSV,Base,103,0.761132957,5.04E-09,-454.0069392,-1734.958464,3433.576902,93.04353563,0.683408936,0.002168197,6059.116518,-32137.08086
6,Total US - Food,US43,Retail,OZARKA MSV,MIXED,0,0,0,1618.220722,-55.72399072,8760.70592,64.96381391,-0.908787169,0.066928184,0,-233.6768269
7,Total US - Food,US43,Retail,POLAND SPRING MSV,Base,103,0.653945454,3.21E-09,-44762.42005,-20463.63965,46876.95831,835.1391896,14.05052257,0.064629305,3009.500659,-90770.76762
8,Total US - Food,US43,Retail,DEER PARK CP,Base,103,0.638280903,0.099534078,-2720932.999,-314912.0569,473114.0683,102117.1271,3475.684551,0.263864625,347084.5775,-1927206.641
9,Total US - Club,US43,Retail,ICE MOUNTAIN OP xAl Btl,Base,103,0.809567388,1.23E-05,17157.56628,-11543.6323,104522.6524,127.758394,-34.95189023,0.098826496,0,-106295.3921
10,Total US - Club,US43,Retail,POLAND SPRING CP,Base,103,0.86264593,0.029923109,-25110.7918,-23630.98689,379370.7902,4306.442936,-564.5772653,0.042378497,228875.2048,-286123.383
11,Total US - Club,US43,Retail,POLAND SPRING OP xAl Btl,Base,103,0.836017211,0.004462545,12824.7697,-52552.33909,271953.3475,527.6328566,-743.3384638,0.061545242,143666.2185,-494718.569
12,Total US - Food,US43,Retail,OZARKA CP,Base,103,0.182508274,5.71E-06,96413.81465,-127968.8067,515913.9557,9356.177097,348.1278446,0.124867998,5780.791552,-691856.9567
13,Walmart Corp-RMA - Walmart,US43,Retail,OZARKA CP,Base,103,0.801298935,0.87793255,-15347.83624,-1293885.44,79384.25714,4384.412389,-229.2586904,0.665520287,25806.91959,-13168353.34
14,Total US - Food,US43,Retail,PURE LIFE MSV,Base,103,0.856069679,2.33E-10,-12910.71924,-1703.147611,15087.21486,114.0368464,-1.244308165,0.015534053,2984.828117,-7907.213595
15,Walmart Corp-RMA - Walmart,US43,Retail,PURE LIFE MSV,Base,103,0.930675948,0.03114883,157.7894369,-2640.761662,1119.857008,18.64659214,-4.594879271,0,2208.413069,-6436.877134
16,Total US - Club,US43,Retail,ICE MOUNTAIN CP,Base,103,0.840878218,0.000915839,-16398.21771,-15330.67501,294429.4109,1389.652222,129.3612623,0.074966742,0,-156228.0048
17,Total US - Club,US43,Retail,SPLASH REFRESHER,Base,103,0.713779757,0.00387562,77136.92808,-7520.92964,7264.888499,164.6192771,-575.539507,0.219582552,0,-84468.9297
18,Total US - Food,US43,Retail,SPLASH REFRESHER,MIXED,0,0,0,17388.22921,-7826.296103,11405.86918,50.38806046,-8.322794108,0.054926284,0,-25569.21812
19,Total US - Food,US43,Retail,POLAND SPRING OP xAl Btl,Base,103,0.871618285,3.42E-05,-255923.5879,-4203.242632,64700.65997,1187.164676,180.9363105,0.006621614,3710.315375,-13309.46214
20,Walmart Corp-RMA - Walmart,US43,Retail,POLAND SPRING OP xAl Btl,Base,103,0.916622473,0.011070026,-2046.076236,-1092.614834,2376.118801,130.7177098,5.767818466,0.12671861,884.4991344,-3247.45882
21,Total US - Food,US43,Retail,POLAND SPRING CP,Base,103,0.764826283,0.242030919,-2220100.822,-502213.371,381760.4483,92692.66843,3963.354955,0.599869117,307243.1434,-2841097.106
22,Total US - Food,US43,Retail,ICE MOUNTAIN OP xAl Btl,Base,103,0.804462812,0.022803563,-19532.81711,-3179.522695,37390.39402,242.4509102,29.03841655,0.050365217,0,-11106.4635
23,Walmart Corp-RMA - Walmart,US43,Retail,ICE MOUNTAIN OP xAl Btl,MIXED,0,0,0,-4960.184402,-3123.656646,4883.526698,91.06691448,5.148215492,0.063879987,0,-9588.892432
24,Total US - Food,US43,Retail,ICE MOUNTAIN CP,MIXED,0,0,0,185544.7686,-37942.56761,532513.8803,1617.362075,-29.03759646,0.186447233,0,-219506.1926
25,Walmart Corp-RMA - Walmart,US43,Retail,ICE MOUNTAIN CP,MIXED,0,0,0,52350.66307,-37942.56761,119946.4389,1617.362075,-36.45650184,0.186447233,0,-385627.188
26,Total US - Club,US43,Retail,OZARKA CP,Base,103,0.701275244,6.46E-07,71863.08348,-47997.27356,149041.2863,428.853697,-112.1102044,0.079203854,14599.28998,-511835.2833
27,DeCA Total-RMA - Military,US43,Retail,ARROWHEAD CP,Base,149,0.394327084,0.228805451,304.5897388,-96.34749471,485.0475905,28.45136608,-1.916536598,0,0,-577.8014665
28,DeCA Total-RMA - Military,US43,Retail,ZEPHYRHILLS CP,Base,149,0.243432115,9.30E-12,-40.31921678,-214.9280243,188.8244229,132.2438533,-0.756295487,0.041537025,81.62232064,-1067.359896
29,Walmart Corp-RMA - Walmart,US43,Retail,ARROWHEAD OP xAl Btl,Base,103,0.926785857,0.023736803,-4663.080256,-891.5983107,11179.47143,214.8402017,-33.45965259,0.659722945,0,-2105.050805
30,Walmart Corp-RMA - Walmart,US43,Retail,ZEPHYRHILLS OP xAl Btl,MIXED,0,0,0,-7760.885928,-6678.931645,-4019.805916,292.0166721,-1.220696444,0.096444464,0,-19418.79555
31,Total US - Food,US43,Retail,ARROWHEAD OP xAl Btl,Base,103,0.833233543,0.324752279,-8079.054451,-6965.806451,10935.70279,93.25328958,1.204026815,0.019529995,437.0187109,-20000.18909
32,Total US - Food,US43,Retail,ZEPHYRHILLS OP xAl Btl,Base,103,0.534989874,0.000148545,-17824.49295,-7036.492448,20606.75796,293.4084946,50.62258272,0.091886625,13183.38472,-25285.58562
33,Total US - Club,US43,Retail,ARROWHEAD MSV,MIXED RESTRICTED,0,0,0,4251.294906,-47.03764853,0,70.12065152,0,0.033733763,0,-559.803962
34,DeCA Total-RMA - Military,US43,Retail,DEER PARK CP,Base,149,0.590229143,0.920375026,-547.2729435,-929.705465,2460.141458,74.94417452,-2.768804581,0.009663316,2174.942832,-4593.372397
35,Walmart Corp-RMA - Walmart,US43,Retail,OZARKA OP xAl Btl,MIXED,0,0,0,-10165.95982,-5316.767458,2366.848778,136.8175777,1.855325633,0.121400145,0,-15668.64746
36,Total US - Food,US43,Retail,OZARKA OP xAl Btl,Base,103,0.703867965,7.68E-07,5298.423785,-11011.1189,15064.14754,166.9752017,3.152312786,0.049625955,2539.855108,-32325.0882
37,Total US - Food,US43,Retail,ZEPHYRHILLS MSV,Base,103,0.283626772,2.35E-14,-14962.25848,-7824.170202,-2301.312586,1000.127529,10.36082223,0.027756205,3904.266236,-30011.97236
38,Total US - Food,US43,Retail,ARROWHEAD CP,Base,103,0.614024234,0.000739831,-33279.41053,-43235.55626,138110.0862,2945.001195,-141.206597,0.025156112,16229.53521,-261860.1637
39,Total US - Club,US43,Retail,ICE MOUNTAIN MSV,MIXED,0,0,0,512.7223804,-16.93316438,1537.940864,52.00877393,-0.060718478,0.014901356,0,-292.6881709
40,Total US - Club,US43,Retail,STG SPK PET,0,0,0,0,0,0,0,0,0,0,0,0
41,DeCA Total-RMA - Military,US43,Retail,POLAND SPRING CP,Base,149,0.551615621,0.000116791,111.3950042,-74.76987728,622.9107003,28.89255911,-1.093397968,0.014255916,116.8444197,-365.2326628
42,Total US - Club,US43,Retail,ZEPHYRHILLS OP xAl Btl,Base,103,0.734551362,1.64E-08,4704.618232,-7335.610419,37812.89882,374.7142163,-44.95517352,0.083146014,9969.707823,-63838.57137
43,Total US - Drug,US43,Retail,ICE MOUNTAIN OP xAl Btl,MIXED,0,0,0,-2945.523133,-3123.656646,-2086.161897,91.06691448,-1.031724014,0.063879987,0,-8540.578712
44,Total US - Drug,US43,Retail,POLAND SPRING CP,Base,103,0.745853899,0.886935742,-1667.184307,-1462.75748,1907.694086,49.1351586,19.31606562,0.00528292,913.0776953,-10909.52542
45,Total US - Club,US43,Retail,ARROWHEAD OP xAl Btl,MIXED,0,0,0,87797.33575,-11769.94413,13637.15468,207.8542738,-18.88824192,0.101549692,0,-93963.40707
46,Total US - Club,US43,Retail,STG SPK GLS,0,0,0,0,0,0,0,0,0,0,0,0
47,Total US - Food,US43,Retail,ARROWHEAD MSV,MIXED RESTRICTED,0,0,0,8123.005822,-47.03764853,0,70.12065152,0,0.033733763,0,-240.6299597
48,DeCA Total-RMA - Military,US43,Retail,DEER PARK MSV,Base,149,0.623722797,0.486769403,391.2515721,-89.23981173,383.7585635,0.998906933,-0.713279633,0.021701818,204.2935978,-644.3069066
49,DeCA Total-RMA - Military,US43,Retail,PURE LIFE CP,Base,149,0.892413831,0.130714608,-248627.6961,-191949.9901,582928.2974,53563.80809,-5979.534732,0.570167965,822403.5933,-2024323.265
50,Total US - Club,US43,Retail,ZEPHYRHILLS MSV,Base,103,0.608338112,1.39E-05,-716.2981792,-1069.695247,1561.148608,98.57178169,5.696619728,0.086422914,1211.768366,-19306.21044
51,Walmart Corp-RMA - Walmart,US43,Retail,PURE LIFE OP xAl Btl,Base,103,0.767390436,0.000128329,73379.61388,-151439.5156,139088.9484,262.808028,-183.8784117,0.044793814,48683.11245,-281156.7807
52,Total US - Club,US43,Retail,OZARKA OP xAl Btl,Base,103,0.707227258,6.69E-06,-1104.808148,-6335.544206,14576.27677,464.4916549,-51.83346985,0.226370003,7794.129838,-48489.39019
53,Total US - Club,US43,Retail,ZEPHYRHILLS CP,Base,103,0.702408387,6.70E-07,15593.32814,-36659.67911,174073.0693,1707.617422,-183.0611771,0.03055199,64271.92305,-401482.4141
54,Walmart Corp-RMA - Walmart,US43,Retail,ICE MOUNTAIN MSV,MIXED,0,0,0,-1184.101282,-16.93316438,1081.119152,52.00877393,1.064402126,0.014901356,0,-60.31534465
55,Total US - Food,US43,Retail,PURE LIFE OP xAl Btl,Base,103,0.641702454,4.56E-07,-84365.16483,-286659.2068,136944.9256,3337.517631,-67.24445344,0.894500078,116691.8207,-669195.7237
56,Total US - Food,US43,Retail,ICE MOUNTAIN MSV,Base,103,0.597207506,1.47E-05,-4104.122516,-1294.223386,6679.677098,199.0622431,-6.502741987,0.0129375,5.75E-12,-5405.797791
57,Total US - Club,US43,Retail,ARROWHEAD CP,Base,103,0.688784711,0.045606044,74665.33996,-240800.9209,832367.5323,3897.094357,-712.3182937,0.389327171,44966.90018,-2566078.598
58,DeCA Total-RMA - Military,US43,Retail,OZARKA CP,Base,149,0.66926151,0.923075301,549.0848908,-546.1977766,1417.565615,0.351114195,5.622926295,0.003281586,58.27805111,-2168.739747
59,Total US - Club,US43,Retail,STG STILL GLS,MIXED RESTRICTED,0,0,0,-126528638.3,-6980013.487,0,2905.674039,0,1.389545745,0,-127837619
60,Total US - Club,US43,Retail,POLAND SPRING MSV,Base,103,0.903890797,0.180414837,27877.311,-25346.86856,59016.79345,918.1090659,-171.9777762,0.081299275,71997.14671,-479279.0775
61,Total US - Food,US43,Retail,DEER PARK OP xAl Btl,MIXED,0,0,0,-13292.33684,-20696.42889,46994.3932,212.4257958,9.07370282,0.023259037,0,-66987.8399
62,Walmart Corp-RMA - Walmart,US43,Retail,PURE LIFE CP,MIXED,0,0,0,236774.8935,-46626.03945,325011.7818,1123.756384,-307.6350297,0.383685197,0,-400409.9746
63,Walmart Corp-RMA - Walmart,US43,Retail,DEER PARK MSV,MIXED,0,0,0,-1534.318615,-53.63517419,310.6982098,54.08913132,0.078128316,0.049370674,0,-187.9547989
64,Total US - Club,US43,Retail,DEER PARK CP,MIXED,0,0,0,-47962.70685,-19074.99398,85121.58356,1601.583536,-36.71224197,0.305425493,0,-206973.0389
65,Walmart Corp-RMA - Walmart,US43,Retail,DEER PARK OP xAl Btl,Base,103,0.889439622,0.250877767,-6417.641882,-380.854028,4721.736776,88.2002069,35.31780141,0.0202418,5183.956082,-1229.344764
66,Total US - Drug,US43,Retail,ZEPHYRHILLS CP,Base,103,0.362832353,4.30E-19,2895.927621,-3048.469503,-2258.543861,582.6204483,-46.99926985,0.018298019,0,-22964.65212
67,Total US - Food,US43,Retail,DEER PARK MSV,Base,103,0.48687399,9.56E-11,-8437.968247,-4123.232553,9675.561254,202.8075022,2.369807648,0.047831724,1868.569127,-17416.89322
68,Total US - Club,US43,Retail,OZARKA MSV,MIXED,0,0,0,1031.34722,-55.72399072,1969.833241,64.96381391,-0.942336734,0.066928184,0,-963.0628144
69,Total US - Food,US43,Retail,PURE LIFE CP,MIXED,0,0,0,236694.2772,-46626.03945,508935.0056,1123.756384,-94.92593617,0.383685197,0,-290739.7569
